Wavelength,Intensity
365.6,108
366.1,109
366.7,109
367.2,110
367.8,110
368.3,110
368.9,112
369.4,113
370.0,113
370.5,111
371.1,110
371.6,113
372.2,118
372.7,124
373.2,130
373.8,133
374.3,129
374.9,122
375.4,117
376.0,119
376.5,130
377.1,146
377.6,158
378.2,167
378.7,171
379.3,170
379.8,167
380.4,166
380.9,169
381.5,169
382.0,169
382.6,168
383.1,169
383.7,169
384.2,168
384.7,168
385.3,169
385.8,168
386.4,168
386.9,169
387.5,169
388.0,169
388.6,168
389.1,168
389.7,167
390.2,167
390.8,167
391.3,167
391.9,167
392.4,166
393.0,166
393.5,167
394.1,167
394.6,166
395.1,163
395.7,159
396.2,153
396.8,148
397.3,144
397.9,141
398.4,139
399.0,136
399.5,131
400.1,127
400.6,125
401.2,125
401.7,127
402.3,131
402.8,135
403.4,140
403.9,145
404.5,149
405.0,151
405.5,153
406.1,153
406.6,153
407.2,153
407.7,152
408.3,152
408.8,152
409.4,152
409.9,152
410.5,153
411.0,154
411.6,155
412.1,155
412.7,155
413.2,156
413.8,156
414.3,156
414.9,157
415.4,157
415.9,156
416.5,156
417.0,157
417.6,157
418.1,158
418.7,159
419.2,159
419.8,159
420.3,159
420.9,159
421.4,159
422.0,159
422.5,160
423.1,160
423.6,160
424.2,159
424.7,160
425.3,160
425.8,160
426.3,160
426.9,160
427.4,161
428.0,161
428.5,161
429.1,161
429.6,162
430.2,162
430.7,162
431.3,161
431.8,161
432.4,162
432.9,161
433.5,162
434.0,162
434.6,161
435.1,161
435.7,161
436.2,162
436.8,162
437.3,162
437.8,162
438.4,162
438.9,163
439.5,163
440.0,163
440.6,164
441.1,164
441.7,164
442.2,165
442.8,164
443.3,164
443.9,164
444.4,164
445.0,165
445.5,165
446.1,166
446.6,166
447.2,166
447.7,167
448.2,167
448.8,167
449.3,167
449.9,168
450.4,168
451.0,168
451.5,167
452.1,167
452.6,167
453.2,168
453.7,168
454.3,168
454.8,168
455.4,169
455.9,169
456.5,169
457.0,168
457.6,168
458.1,168
458.6,169
459.2,169
459.7,169
460.3,169
460.8,169
461.4,170
461.9,171
462.5,171
463.0,171
463.6,172
464.1,172
464.7,171
465.2,171
465.8,171
466.3,172
466.9,172
467.4,173
468.0,173
468.5,174
469.0,174
469.6,174
470.1,174
470.7,174
471.2,174
471.8,174
472.3,175
472.9,175
473.4,176
474.0,176
474.5,176
475.1,175
475.6,175
476.2,176
476.7,176
477.3,176
477.8,176
478.4,177
478.9,177
479.4,177
480.0,177
480.5,177
481.1,178
481.6,178
482.2,179
482.7,179
483.3,179
483.8,179
484.4,180
484.9,180
485.5,181
486.0,181
486.6,181
487.1,181
487.7,181
488.2,181
488.8,181
489.3,182
489.8,182
490.4,182
490.9,183
491.5,183
492.0,183
492.6,183
493.1,183
493.7,184
494.2,184
494.8,184
495.3,183
495.9,183
496.4,184
497.0,184
497.5,183
498.1,182
498.6,179
499.2,177
499.7,174
500.2,172
500.8,171
501.3,170
501.9,171
502.4,171
503.0,171
503.5,170
504.1,170
504.6,171
